steamid,steamid64,name,nationality
0:1:26257143,76561198012780015,mico,ru
0:1:39357059,76561198038979847,mirror,ru
0:0:20852765,76561198001971258,b3y0nd,ru
0:0:22831004,76561198005927736,Freejam,ru
0:1:18640660,76561197997547049,Diablo,ru
0:0:20557311,76561198001380350,Scroll,ru
0:0:23164498,76561198006594724,diabolos,ru
0:1:14533195,76561197989332119,Screaming Lord,ru
0:0:22254504,76561198004774736,DerSprengstoff,ru
0:0:12944050,76561197986153828,crack,ru
0:1:5636266,76561197971538261,TBAPb,ru
0:1:15943079,76561197992151887,FaSt,ru
0:1:38687750,76561198037641229,T-34,ru
0:1:13297814,76561197986861357,kitty,ru
0:1:11569180,76561197983404089,g0blen,ru
0:1:57952632,76561198076170993,Zars,ru
0:1:47366780,76561198054999289,hedgehog,ru
0:0:13357354,76561197986980436,VJIG,ru
0:0:25616685,76561198011499098,BoBka 38_RuS,ru
0:1:19500182,76561197999266093,Flipper_SPb,ru
0:0:8733342,76561197977732412,Maverick,ru
0:1:20651579,76561198001568887,chen,ru
0:0:20032184,76561198000330096,SkaYakuza,ru
0:0:30973893,76561198022213514,Zetex,ru
0:0:30744680,76561198021755088,Krest,ru
0:0:17803682,76561197995873092,AiNt,ru
0:0:18348289,76561197996962306,DivinitY,ru
0:1:20715751,76561198001697231,chuwy,ru
0:0:30664723,76561198021595174,Psych,ru
0:0:18893951,76561197998053630,sanstorm,ru
0:0:35689073,76561198031643874,Speed,ru
0:1:31598162,76561198023462053,subar,ru
0:0:19503384,76561197999272496,Pepper,ru
0:0:31646617,76561198023558962,air,ru
0:0:32169410,76561198024604548,bizarro,ru
0:1:30583061,76561198021431851,L!Tt1e,ru
0:1:31487526,76561198023240781,raBpuJI,ru
0:1:20688014,76561198001641757,Moroz,ru
0:1:38309989,76561198036885707,JIorD,ru
0:1:16161958,76561197992589645,Knyaz,ru
0:0:22502886,76561198005271500,-mOnk-,ru
0:1:18828894,76561197997923517,IAMSTERDAM,ru
0:0:37689350,76561198035644428,sonic,ru
0:1:15867805,76561197992001339,KUViCK,ru
0:1:66127774,76561198092521277,KUViCK,ru
0:0:17619517,76561197995504762,IIoxoTb,ru
0:1:9583679,76561197979433087,IIoxoTb,ru
0:1:29025609,76561198018316947,skyjet,ru
0:0:24744693,76561198009755114,JustFrag,ru
0:0:38322827,76561198036911382,Mr_Death,ru
0:0:36616794,76561198033499316,AlucarD,ru
0:1:38478338,76561198037222405,D_e_n,ru
0:0:17767056,76561197995799840,oTkPoBeHuE,ru
0:0:18481818,76561197997229364,g0bl3n,ru
0:0:20805532,76561198001876792,ThE KA/7A,ru
0:0:13243509,76561197986752746,Sonic,ru
0:1:37843643,76561198035953015,poH4uk,ru
0:1:36864884,76561198033995497,vb,ru
0:1:10361831,76561197980989391,Manifest,ru
0:1:43004014,76561198046273757,Bla'k Fas'T,ru
0:0:10176066,76561197980617860,Bla'k Fas'T,ru
0:0:17650494,76561197995566716,DJFormat18,ru
